d,yoy2019spend1,yoy2019spend2,yoy2019spend3,yoy2019spend4
1/8/2020,.0348174176430567,.0852292986442682,.0855704817491858,.0964332273707051
1/15/2020,.010770283046325,.0245630478313823,.0505523996535187,.05487172126288
1/22/2020,.0659659328181013,.0888991145356177,.0975799839998701,.1016230947493235
1/29/2020,.0439936710275424,.0475748449477187,.0555575414431682,.0495375515203438
2/5/2020,.0355359462635607,.0478004669192074,.0517499546346258,.0427967558068238
2/12/2020,.0238615801452542,.0222861714805325,.0371699513404535,.0319933954623266
2/19/2020,.0363921262839724,.0478917846789708,.0442280056820867,.0452994112351037
2/26/2020,.0050174470744182,.0022659176433755,.0244701992007674,.0242126034705819
3/4/2020,.016655510947269,.0464122122151931,.0285000216543903,.0174302635692665
3/11/2020,.0847630790982785,.0710577886980415,.0485798251413383,.045123769068371
3/18/2020,.1197207196834638,.1372094281064253,.117931908140581,.1070601532075564
3/25/2020,-.0682004156476561,-.0554314675514329,-.0673335382732916,-.0942835173829376
4/1/2020,-.1768163110538044,-.1877783367336214,-.1903046398172663,-.2015597694578818
4/8/2020,-.0077056647478472,.0214535247030492,-.0108349157967306,-.0541839400044515
4/15/2020,-.0079333487600198,-.051124665142979,-.0841400939309616,-.1458100551973985
4/22/2020,.2426447738112028,.1898195425661704,.1240850982647654,-.0312282650151958
4/29/2020,.0360342884843514,-.0104339847890523,-.0450439416967893,-.1079953565105848
5/6/2020,.1703709190388452,.1524512980075197,.1111162499692653,.0112369642427479
5/13/2020,.1329161752142776,.0654684773657104,.0216370580550471,-.0303919440058735
5/20/2020,.1574224201934087,.1172789794870324,.0712849082263129,-.0051915083768896
5/27/2020,.1834731075351017,.1080681329468969,.0578017487427913,-.0038606420201253
6/3/2020,.1088373513848984,.0248653085917618,.0124007586335835,-.0613942730642262
6/10/2020,.213903577806889,.1477700273825548,.0821750107421748,.0185316679174037
6/17/2020,.1523084952399723,.0578932023946688,.0348379501974312,-.0258321547812982
6/24/2020,.225712852642723,.1395583791624022,.0981344110469802,.0388608341050212
7/1/2020,.0249416592939196,-.0449278175511014,-.0742534958116831,-.0982118008790221
7/8/2020,.2419662236188982,.2110266085187573,.1532552496774036,.0785071081624202
7/15/2020,.131022485773981,.0287092796712445,-.007398719107095,-.041495960479043
7/22/2020,.1903745708714275,.144509293353362,.1050250343055099,.018877801238758
7/29/2020,.1396564054708085,.0723181873351011,.0503356676336439,-.0018413117498721
8/5/2020,.136854184484424,.0911049324009057,.0451362893145397,-.0092204786460008
8/12/2020,.1945662457149009,.1242597487854271,.0881670647992259,.0153233662744636
8/19/2020,.1500280136786545,.1205179880410501,.0661072447704398,.0152032444979446
8/26/2020,.1760772915426372,.1455506853111261,.0963532781226906,.0425854938528623
9/2/2020,.0763485010267591,.0053116731407701,-.0383650326424718,-.0610703874030981
9/9/2020,.2502867214953413,.2096708735629393,.1974443054443211,.1265816632757624
9/16/2020,.152649276969651,.0735121441691442,.0331224895334501,.0050012381164732
9/23/2020,.1932696699607668,.1775776251850729,.1333418003439448,.0718177459354634
9/30/2020,.068034003466777,-.0028958453118904,-.0401941566745465,-.0480220535770101
10/7/2020,.2563911186754007,.1988729907083691,.167749638074022,.0997099695702135
10/14/2020,.1298980859373193,.0452164666229204,.0188490575755247,-.0168839272257924
10/21/2020,.2137165890871164,.1912388465819646,.162167598667567,.0797738531865058
10/28/2020,.1686066941946356,.1355093605429067,.1162660960572488,.0419434422691174
11/4/2020,.1374848647864819,.0875594174256673,.0568127414690651,.0129541654123693
11/11/2020,.1585729120885291,.1544541130191301,.1004157591888786,.0395610078359039
11/18/2020,.1817529381333656,.1528659594142221,.126606562321145,.0663688354404699
11/25/2020,.2026712642110045,.1572232809506897,.117967542732887,.0726639670157958
12/2/2020,.0365657903368917,-.0342828168962158,-.0454526134321739,-.0718879595007328
12/9/2020,.247484394841061,.212532306415933,.161518713368944,.100850236900289
12/16/2020,.1411687016794465,.0528659085873147,.0253871872368119,-.0059586889033681
12/23/2020,.1964735347857232,.1787636289717545,.1475027678467185,.0709247702403468
12/30/2020,.0891083485263109,.0171585975426995,-.0165782952748755,-.0449013211394791
1/6/2021,.4093667058105077,.4352332221300246,.3631472637251785,.2076298799059055
1/13/2021,.331503681469355,.2849220575880662,.2486792926350432,.1393693190452916
1/20/2021,.3211453975856606,.3188091550134129,.2811793028225464,.1804014998038663
1/27/2021,.2840478458616906,.2456207590386996,.2256809879201267,.1537735947975059
2/3/2021,.1754751978631295,.1224983280169869,.1065178829369708,.0603733340365633
2/10/2021,.2076196014965153,.1650313457417052,.1425036632757861,.096363839479882
2/17/2021,.1203646676469661,.0736359702982239,.0441762743586225,.0136393900665397
2/24/2021,.1012184992563037,.0979596484480207,.081038713684058,.0551608524624323
3/3/2021,.0606289630814292,.061164803530924,.0599978298074386,.0398369512900127
3/10/2021,.263499527569649,.2186477964069551,.1606308771346876,.1158998440201962
3/17/2021,.3069473617016543,.2700613853602225,.2029143975053491,.1106838146741991
